alpha,beta,gama
3.988961889607353e-05,-0.013122557743202715,-0.03409550892692995
0.00020215294467204465,-0.013148545410074304,-0.03409843424293983
0.0003544213581197987,-0.013171314397097181,-0.03410112653235434
0.0004971684180125783,-0.013190626476189458,-0.034103585795173454
0.0006308497420588488,-0.01320743455967868,-0.034105866126856836
0.0007558999794746056,-0.013221143597508785,-0.03410796336621527
0.0008727356392916615,-0.01323223004584354,-0.03410990248038399
0.0009817261570889673,-0.013240813538872541,-0.03411169179174139
0.0010832694465840837,-0.013246774442406196,-0.034113304252557645
0.0011777299369252017,-0.013250707806500566,-0.03411480228067081
0.0012654344115019386,-0.013252853939832143,-0.034116162989540275
0.0013467368964894773,-0.013252615711750257,-0.03411741758808506
0.0014219059186285899,-0.013250588172310973,-0.03411853486738613
0.0014912847760285442,-0.013246774442406196,-0.03411955643933553
0.0015551514881429825,-0.013241289995036314,-0.03412047190096024
0.0016137835542768964,-0.013234256544985522,-0.03412129165523328
0.0016674592539582533,-0.013225912320335707,-0.034122003218587035
0.0017164030313297032,-0.013216018052707683,-0.03412264404172433
0.0017608804222772785,-0.013204811970183333,-0.03412318707691536
0.0018011193819470197,-0.013192652975331442,-0.034123667694268334
0.0018373232884612354,-0.013179301799772817,-0.03412404844308043
0.0018697073533240317,-0.013164638809317869,-0.03412436885464908
0.0018984926397118305,-0.01314914150042767,-0.03412461852600128
0.001923855347979957,-0.01313280987310222,-0.034124793295947815
0.001945977140044566,-0.013115524293151923,-0.03412492021221852
0.0019650325257778685,-0.01309752402895597,-0.03412498263005656
0.001981206548062246,-0.013078808040217058,-0.034124999274813377
0.001994635355806943,-0.013059377367232488,-0.03412494517935373
0.0020054915083267313,-0.013039349563597251,-0.03412484947200206
0.002013918306574798,-0.01301872670990595,-0.034124689266217735
0.002020047868308346,-0.012997626359753576,-0.034124495770919784
0.0020240146519535057,-0.01297604955343743,-0.03412425234135139
0.002025964039058065,-0.012954114884849804,-0.034123973541674776
0.002025967550061455,-0.012931584125908814,-0.03412364896891692
0.0020241692661398386,-0.012908815138885936,-0.03412330359021305
0.0020206946731551262,-0.012885569695699288,-0.03412293116377936
0.002015618282401488,-0.012862086024430754,-0.03412249215831842
0.0020090736420449156,-0.012838481678675325,-0.034122055233452075
0.002001139034457296,-0.01281464014513531,-0.034121574616099104
0.001991905225578124,-0.012790202521241932,-0.0341210607092325
0.001981452058225238,-0.012766241353512325,-0.034120523915825283
0.0019698626261455392,-0.012741565501537058,-0.03411997255825585
0.0019572127410048255,-0.012717126837346378,-0.03411938791117279
0.0019435893976648768,-0.012692450985371112,-0.03411877413576531
0.0019290442208792459,-0.012667655499206254,-0.03411815411857403
0.0019136691469218918,-0.012642502150769916,-0.034117498731274516
0.0018974948645631888,-0.012617944892686942,-0.0341168287798128
0.0018806462094792344,-0.012592791544250605,-0.034116146344783466
0.0018631242219673294,-0.01256775783000386,-0.03411545350678112
0.0018449993821696036,-0.012543081978028595,-0.03411473154045436
0.0018263320273295043,-0.012518166857674142,-0.034113992929370784
0.0018071482949167143,-0.012493133143427397,-0.034113266801854815
0.0017875189251476888,-0.012468218023072944,-0.03411249698185222
0.0017674857899887856,-0.012443422536908087,-0.03411173964541722
0.0017470871203658096,-0.012418627050743227,-0.03411095734184701
0.0017263372203666467,-0.012393951198767962,-0.034110152151736184
0.0017053100811368173,-0.012369274306495396,-0.03410936360638217
0.0016840285892169395,-0.012344717048412423,-0.03410853344913612
0.0016625303253470052,-0.012320279424519043,-0.03410771369486308
0.0016408260826115096,-0.012295960394517956,-0.03410687521523863
0.0016189560424936973,-0.012271642404814171,-0.03410604505799258
0.001596976641122137,-0.012247561602894969,-0.03410520241717892
0.0015748962008752356,-0.012223720069354956,-0.03410438266290588
0.0015527194030908462,-0.012199758901625349,-0.034103502571389395
0.0015305080154212048,-0.012176035961977626,-0.03410263912462972
0.0015082829738494903,-0.012152432656519498,-0.034101777758464645
0.0014860297142134913,-0.012128948985250965,-0.03410089974754276
0.0014637790553207444,-0.012105583907874721,-0.034100038381377686
0.0014415610357558103,-0.012082457058580366,-0.03409917077342881
0.0014193867086775105,-0.012059449843475603,-0.03409827611775011
0.0013972900137852837,-0.01203644158807354,-0.03409738354266601
0.0013752843449068779,-0.01201391186942985,-0.03409649720936572
0.0013533503265050657,-0.011991142882406974,-0.03409558382833561
0.001331518257238733,-0.011968730717358276,-0.03409468501146771
0.0013098173954694651,-0.011946677454878357,-0.03409379243638361
0.0012882652962142136,-0.01192462419239844,-0.034092887377731904
0.0012668480454965797,-0.011902331661539334,-0.03409199896383701
0.0012455824181105393,-0.011880993083305074,-0.034091093905185305
0.0012244660733871655,-0.011859178048907043,-0.03409016595999298
0.0012035337312488728,-0.011837839470672783,-0.03408925882074667
0.0011827735583138644,-0.011816500892438523,-0.03408834960090576
0.0011622054502680185,-0.011795639810665335,-0.03408742789749724
0.0011418321378917498,-0.011774539460512962,-0.03408649371052111
0.0011216476394755785,-0.011753796972632067,-0.034085599054842416
0.0011016751016344475,-0.01173329271283306,-0.034084679432028496
0.001081917970353166,-0.011712788453034051,-0.03408376397040378
0.0010623719544053682,-0.01169252346161423,-0.03408286099234668
0.001043043750704928,-0.011672377064086699,-0.03408193096655975
0.0010239413565373452,-0.01165223066655917,-0.03408100926315123
0.0010050702334634491,-0.011632560725195413,-0.03408008964033731
0.0009864323970592604,-0.011612891824128956,-0.03407915961455039
0.0009680376651305552,-0.011593817973118566,-0.03407823583054727
0.0009498653617684798,-0.011574267665944401,-0.03407732869130096
0.0009319305712838961,-0.011555075221041718,-0.03407640282670323
0.0009142378449774951,-0.011536121004220919,-0.03407548112329471
0.0008967756095418054,-0.011517405015482006,-0.03407455109750779
0.0008795728632640871,-0.0114985693925535,-0.03407362939409927
0.0008625822075985718,-0.011480092672193775,-0.03407270977128535
0.0008458526665555603,-0.011461614911536749,-0.03407180055144444
0.0008293666851181016,-0.011443495013151202,-0.03407087260625211
0.0008131271891223539,-0.011425375114765655,-0.0340699529834382
0.0007971291721375574,-0.011407493444461994,-0.03406904376359729
0.0007813611908934029,-0.011389612814455633,-0.03406812414078337
0.0007658454817446955,-0.01137196937223386,-0.034067192034401846
0.0007505648147673903,-0.011354445564201678,-0.034066272411587925
0.0007355319986220035,-0.011337159984251381,-0.0340653444663956
0.0007207381907814784,-0.0113196361762192,-0.03406442068239248
0.000706167851804884,-0.011302708458540384,-0.03406352394611918
0.0006918337253341552,-0.011285780740861569,-0.034062585597953846
0.000677730154752719,-0.011268972657372346,-0.034061661813950726
0.0006638649422903314,-0.011252402801965008,-0.034060756755299015
0.0006502273598810777,-0.011235475084286193,-0.034059820487728286
0.0006368240394202507,-0.011219143456960741,-0.03405891959026578
0.0006236471786780942,-0.011202930423527584,-0.03405798332269505
0.0006106997034907669,-0.011186837024284019,-0.03405707618344875
0.0005979751120001385,-0.011170505396958567,-0.03405616280241863
0.000585471648704514,-0.01115465126609419,-0.03405523485722631
0.000573186842897804,-0.011138915729122104,-0.0340543339597638
0.0005610989133552727,-0.011123298786042311,-0.03405340185338228
0.0005492493419317901,-0.01110768288325982,-0.03405248847235216
0.0005376031486306162,-0.011091947346287734,-0.03405157301072745
0.000526175677836938,-0.011076806859371714,-0.03405067211326494
0.0005149622157036113,-0.011061667412752994,-0.034049748329261824
0.0005039526518412439,-0.011046527966134274,-0.03404884535120472
0.0004931380787041973,-0.011031508153705146,-0.03404791116422859
0.00048253039469284986,-0.011016368707086428,-0.03404701234736069
0.000472118384101927,-0.011001705716631479,-0.03404610728870898
0.0004618983408722947,-0.010987042726176531,-0.034045177262922055
0.00045187348342372725,-0.010972379735721583,-0.03404429092962176
0.0004420440718305499,-0.010957956013645822,-0.034043369226213246
0.00043237847455295983,-0.010943412657380467,-0.03404246000637234
0.00042291482498888996,-0.010928987895007406,-0.03404154454474762
0.00041361934598535446,-0.010914802401013531,-0.034040635324906705
0.000404512713451207,-0.01090085409480424,-0.03403970321852518
0.0003955822812723847,-0.010886788234999958,-0.03403879607927887
0.0003868305526642675,-0.010872721334898377,-0.03403790142360017
0.000378251058278016,-0.010859012297068272,-0.03403697347840785
0.00036983430540076033,-0.01084530325923817,-0.034036064258566937
0.0003615718091076407,-0.010831236359136586,-0.03403515919991523
0.0003534883089688421,-0.010817885183577963,-0.03403425414126353
0.00034556559978160024,-0.010804414373829745,-0.03403333659904421
0.00033780449427818146,-0.010790943564081529,-0.03403242113741949
0.00033017017500829916,-0.01077747275433331,-0.03403150151460558
0.0003227109507778598,-0.010763883350692801,-0.03403060269773767
0.00031540289474894475,-0.010750770403216064,-0.03402967475254535
0.0003082356364578365,-0.010737657455739326,-0.03402877801627205
0.0003012063801055391,-0.010724186645991108,-0.034027887521782554
0.0002943240007284001,-0.010710834430135183,-0.034026963737779435
0.0002875915541997407,-0.01069784111684804,-0.034026064920911536
0.00028099408624586165,-0.010684608535181708,-0.034025159862259825
0.0002745430401370719,-0.010671495587704971,-0.034024236078256706
0.00026820408606244474,-0.010658502274417826,-0.03402332061663199
0.00026202200556985094,-0.010645269692751496,-0.0340224301221425
0.0002559590066089095,-0.010632156745274757,-0.03402152090230159
0.0002500168446813155,-0.01061904379779802,-0.03402062416602829
0.00024420444358735254,-0.010605930850321282,-0.03401970662380897
0.00023851052260316486,-0.01059269826865495,-0.03401879324277886
0.0002329448670252383,-0.010579585321178213,-0.03401788610353255
0.00022750307184468964,-0.010566352739511882,-0.03401697896428624
0.000222164493661956,-0.010553121198142851,-0.034016071825039934
0.0002169479228470332,-0.010539770022584227,-0.034015164685793624
0.00021182333707000565,-0.010526537440917897,-0.034014282513682534
0.00020682491984999225,-0.010513186265359272,-0.03401337745503083
0.00020193531122578569,-0.010499715455611056,-0.03401246823518992
0.00019716029785112169,-0.010486482873944724,-0.034011552773565205
0.0001924743924421304,-0.010473012064196506,-0.0340106497955081
0.00018789207788779655,-0.010459303026366404,-0.0340097593010186
0.00018341564609311098,-0.010445832216618186,-0.034008852161772296
0.0001790232020508207,-0.010432123178788083,-0.03400794918371519
0.0001747262540498159,-0.010418295547065687,-0.034007048286252686
0.00017052532223874698,-0.010404705103127876,-0.03400614738879018
0.00016641993523289957,-0.01039087747140548,-0.03400526313608449
0.00016240908524426344,-0.010376810571303898,-0.03400435183564898
0.00015847053591803377,-0.010362981899284201,-0.03400344885759188
